date,portfolio_value
2023-01-03,10000.0
2023-01-04,10000.0
2023-01-05,10000.0
2023-01-06,14519.999999999998
2023-01-09,15550.0
2023-01-10,16470.0
2023-01-11,16470.0
2023-01-12,18770.0
2023-01-13,18770.0
2023-01-17,18770.0
2023-01-18,18770.0
2023-01-19,11210.0
2023-01-20,17483.0
2023-01-23,7844.0
2023-01-24,7844.0
2023-01-25,7844.0
2023-01-26,19544.0
2023-01-27,12314.000000000004
2023-01-30,14034.0
2023-01-31,14034.0
2023-02-01,11464.0
2023-02-02,11464.0
2023-02-03,11464.0
2023-02-06,6777.999999999998
2023-02-07,12165.999999999998
2023-02-08,7995.999999999998
2023-02-09,7995.999999999998
2023-02-10,7995.999999999998
2023-02-13,7086.999999999999
2023-02-14,7086.999999999999
2023-02-15,5251.0
2023-02-16,4065.999999999999
2023-02-17,4065.999999999999
2023-02-21,4065.999999999999
2023-02-22,3186.999999999999
2023-02-23,3186.999999999999
2023-02-24,3186.999999999999
2023-02-27,3654.999999999999
2023-02-28,4471.0
2023-03-01,4471.0
2023-03-02,4471.0
2023-03-03,4471.0
2023-03-06,4471.0
2023-03-07,4273.0
2023-03-08,4273.0
2023-03-09,5455.0
2023-03-10,3849.0
2023-03-13,3849.0
2023-03-14,3849.0
2023-03-15,3849.0
2023-03-16,3327.0
2023-03-17,3327.0
2023-03-20,3327.0
2023-03-21,2933.0
2023-03-22,2351.0
2023-03-23,2121.0
2023-03-24,2164.0
2023-03-27,3497.0
2023-03-28,3497.0
2023-03-29,3497.0
2023-03-30,7037.0
2023-03-31,7064.0
2023-04-03,4163.0
2023-04-04,4163.0
2023-04-05,2891.0
2023-04-06,5366.0
2023-04-10,7105.999999999999
2023-04-11,7105.999999999999
2023-04-12,7105.999999999999
2023-04-13,7105.999999999999
2023-04-14,19626.0
2023-04-17,19626.0
2023-04-18,33756.0
2023-04-19,33756.0
2023-04-20,33756.0
2023-04-21,33756.0
2023-04-24,24316.0
2023-04-25,24316.0
2023-04-26,20306.0
2023-04-27,23676.0
2023-04-28,23676.0
2023-05-01,23676.0
2023-05-02,36096.0
2023-05-03,25106.0
2023-05-04,25106.0
2023-05-05,25106.0
2023-05-08,22106.0
2023-05-09,22106.0
2023-05-10,18396.0
2023-05-11,20906.0
2023-05-12,20906.0
2023-05-15,17726.0
2023-05-16,17726.0
2023-05-17,17726.0
2023-05-18,10778.0
2023-05-19,10778.0
2023-05-22,10778.0
2023-05-23,10778.0
2023-05-24,12068.0
2023-05-25,12068.0
2023-05-26,10574.0
2023-05-30,10574.0
